"Story","Title","Result","Date","Stability","Duration (s)"
"Opening Google Page","Open page","SUCCESS","2022-09-01T11:46:28.2404352+05:00[Asia/Karachi]","0.0","7.93"
"Check IMDb link is present","Movie search","SUCCESS","2022-09-01T11:46:38.2716956+05:00[Asia/Karachi]","0.0","7.3"
