"Story","Title","Result","Date","Stability","Duration (s)"
"Opening Google Page","Open page","SUCCESS","2022-09-02T09:55:22.7037395+05:00[Asia/Karachi]","0.0","10.04"
"Check IMDb link is present","Movie search","SUCCESS","2022-09-02T09:55:34.7991513+05:00[Asia/Karachi]","0.0","5.38"
"Right IMDb page","Conforming Ali is on right IMDb page","SUCCESS","2022-09-02T09:55:40.437219+05:00[Asia/Karachi]","0.0","9.09"
"Right IMDb page","Opening Cast and crew page","SUCCESS","2022-09-02T09:55:49.5370243+05:00[Asia/Karachi]","0.0","4.97"
"Right IMDb page","Conforming Ricky Gervais as director and cast member","SUCCESS","2022-09-02T09:55:54.5107656+05:00[Asia/Karachi]","0.0","1.88"
