"Story","Title","Result","Date","Stability","Duration (s)"
"Opening Google Page","Open page","SUCCESS","2022-09-02T17:14:54.162987+05:00[Asia/Karachi]","0.0","8.42"
"Check IMDb link is present","Movie search","SUCCESS","2022-09-02T17:15:04.8159311+05:00[Asia/Karachi]","0.0","6.01"
"Right IMDb page","Conforming Ali is on right IMDb page","SUCCESS","2022-09-02T17:15:11.0358822+05:00[Asia/Karachi]","0.0","9.31"
"Right IMDb page","Opening Cast and crew page","SUCCESS","2022-09-02T17:15:20.350673+05:00[Asia/Karachi]","0.0","6.27"
"Right IMDb page","Conforming Ricky Gervais as director and cast member","SUCCESS","2022-09-02T17:15:26.6324942+05:00[Asia/Karachi]","0.0","1.89"
"Saving data obtained from Cast and Crew site","Saving Data","SUCCESS","2022-09-02T17:15:28.9235272+05:00[Asia/Karachi]","0.0","5.37"
